# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/R7.gff" "-t" "CDS" "-g" "ID" "-o" "R7/featureCount_R7.txt" "R7/R7_rep1_rna_map.sorted.bam" "R7/R7_rep2_rna_map.sorted.bam" "R7/R7_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	R7/R7_rep1_rna_map.sorted.bam	R7/R7_rep2_rna_map.sorted.bam	R7/R7_rep3_rna_map.sorted.bam
PAOEAKHP_03517	contig_2_pilon	3931895	3933223	-	1329	125	174	213
PAOEAKHP_03518	contig_2_pilon	3933235	3934602	-	1368	36	24	27
PAOEAKHP_03519	contig_2_pilon	3934606	3936540	-	1935	150	130	151
PAOEAKHP_03520	contig_2_pilon	3936540	3936767	-	228	6	2	14
PAOEAKHP_03521	contig_2_pilon	3936789	3938510	-	1722	156	214	277
PAOEAKHP_03522	contig_2_pilon	3938473	3938937	-	465	174	120	83
PAOEAKHP_03523	contig_2_pilon	3939359	3939757	-	399	109	77	142
PAOEAKHP_03524	contig_2_pilon	3939785	3940159	-	375	22	26	66
PAOEAKHP_03525	contig_2_pilon	3940318	3940542	-	225	36	23	43
PAOEAKHP_03526	contig_2_pilon	3940646	3940891	-	246	8	6	37
PAOEAKHP_03527	contig_2_pilon	3940971	3941444	-	474	12	4	10
PAOEAKHP_03528	contig_2_pilon	3941493	3941705	-	213	0	0	0
PAOEAKHP_03529	contig_2_pilon	3941717	3941839	-	123	0	0	0
PAOEAKHP_03530	contig_2_pilon	3941850	3942338	-	489	6	2	6
PAOEAKHP_03531	contig_2_pilon	3942426	3942599	-	174	2	2	22
PAOEAKHP_03532	contig_2_pilon	3942640	3942831	-	192	0	0	2
PAOEAKHP_03533	contig_2_pilon	3942857	3943003	-	147	1	3	2
PAOEAKHP_03534	contig_2_pilon	3943023	3943553	-	531	36	31	53
PAOEAKHP_03535	contig_2_pilon	3943732	3945735	-	2004	191	192	150
PAOEAKHP_03536	contig_2_pilon	3945785	3945931	-	147	0	6	1
PAOEAKHP_03537	contig_2_pilon	3945928	3946521	-	594	2	14	28
PAOEAKHP_03538	contig_2_pilon	3946614	3947396	-	783	75	68	55
PAOEAKHP_03539	contig_2_pilon	3947413	3947505	-	93	14	7	4
PAOEAKHP_03540	contig_2_pilon	3947505	3947954	-	450	114	181	179
PAOEAKHP_03541	contig_2_pilon	3947951	3948349	-	399	84	100	143
PAOEAKHP_03542	contig_2_pilon	3948385	3948612	-	228	173	132	176
PAOEAKHP_03543	contig_2_pilon	3948609	3948926	-	318	127	139	210
PAOEAKHP_03544	contig_2_pilon	3948926	3949144	-	219	171	151	163
PAOEAKHP_03545	contig_2_pilon	3949141	3949338	-	198	1	0	2
PAOEAKHP_03546	contig_2_pilon	3949335	3949844	-	510	8	10	6
PAOEAKHP_03547	contig_2_pilon	3949844	3950068	-	225	4	9	6
PAOEAKHP_03548	contig_2_pilon	3950150	3950455	-	306	114	145	143
PAOEAKHP_03549	contig_2_pilon	3950452	3950646	-	195	124	105	144
PAOEAKHP_03550	contig_2_pilon	3950643	3951116	-	474	284	274	321
PAOEAKHP_03551	contig_2_pilon	3951311	3952093	+	783	10	10	27
PAOEAKHP_03552	contig_2_pilon	3952201	3952692	+	492	9	2	13
PAOEAKHP_03553	contig_2_pilon	3952956	3953195	-	240	300	285	375
PAOEAKHP_03554	contig_2_pilon	3953192	3953485	-	294	443	434	552
PAOEAKHP_03555	contig_2_pilon	3953618	3953809	+	192	17	15	35
PAOEAKHP_03556	contig_2_pilon	3953810	3954304	-	495	60	64	147
PAOEAKHP_03557	contig_2_pilon	3954398	3954589	-	192	4	8	15
PAOEAKHP_03558	contig_2_pilon	3954586	3955224	-	639	16	3	24
PAOEAKHP_03559	contig_2_pilon	3955283	3955552	-	270	0	0	6
PAOEAKHP_03560	contig_2_pilon	3955552	3955887	-	336	0	0	0
PAOEAKHP_03561	contig_2_pilon	3955887	3956339	-	453	6	0	2
PAOEAKHP_03562	contig_2_pilon	3956336	3956716	-	381	0	11	12
PAOEAKHP_03563	contig_2_pilon	3956716	3957336	-	621	29	10	28
PAOEAKHP_03564	contig_2_pilon	3957352	3957720	-	369	21	24	57
PAOEAKHP_03565	contig_2_pilon	3957979	3960594	-	2616	236	210	386
PAOEAKHP_03566	contig_2_pilon	3960711	3961343	-	633	0	0	0
PAOEAKHP_03567	contig_2_pilon	3961378	3961860	-	483	0	2	0
PAOEAKHP_03568	contig_2_pilon	3961857	3962669	-	813	0	0	0
PAOEAKHP_03569	contig_2_pilon	3962666	3963082	-	417	6	2	3
PAOEAKHP_03570	contig_2_pilon	3963079	3963456	-	378	19	4	8
PAOEAKHP_03571	contig_2_pilon	3963453	3963683	-	231	0	4	7
PAOEAKHP_03572	contig_2_pilon	3963680	3964012	-	333	1	6	11
PAOEAKHP_03573	contig_2_pilon	3964169	3964567	-	399	5	10	11
PAOEAKHP_03574	contig_2_pilon	3964564	3964845	-	282	10	9	2
PAOEAKHP_03575	contig_2_pilon	3964842	3965396	-	555	61	48	52
PAOEAKHP_03576	contig_2_pilon	3965400	3965645	-	246	1	1	0
PAOEAKHP_03577	contig_2_pilon	3965642	3965980	-	339	8	2	4
PAOEAKHP_03578	contig_2_pilon	3965977	3966387	-	411	7	6	16
PAOEAKHP_03579	contig_2_pilon	3966384	3966581	-	198	1	0	0
PAOEAKHP_03580	contig_2_pilon	3966578	3966910	-	333	0	0	2
PAOEAKHP_03581	contig_2_pilon	3966919	3967227	-	309	0	0	0
PAOEAKHP_03582	contig_2_pilon	3967224	3967487	-	264	0	1	3
PAOEAKHP_03583	contig_2_pilon	3967487	3967768	-	282	4	0	10
PAOEAKHP_03584	contig_2_pilon	3967761	3967997	-	237	0	0	2
PAOEAKHP_03585	contig_2_pilon	3967994	3968239	-	246	0	2	3
PAOEAKHP_03586	contig_2_pilon	3968236	3968535	-	300	0	2	4
PAOEAKHP_03587	contig_2_pilon	3968638	3969072	-	435	18	9	54
PAOEAKHP_03588	contig_2_pilon	3969335	3969874	+	540	179	181	202
PAOEAKHP_03589	contig_2_pilon	3969963	3970151	+	189	15	10	27
PAOEAKHP_03590	contig_2_pilon	3970163	3971470	+	1308	54	69	103
PAOEAKHP_03591	contig_2_pilon	3972019	3972780	-	762	9	1	8
PAOEAKHP_03592	contig_2_pilon	3972761	3973480	-	720	4	1	4
PAOEAKHP_03593	contig_2_pilon	3973480	3973812	-	333	14	10	18
PAOEAKHP_03594	contig_2_pilon	3974016	3974300	-	285	21	26	28
PAOEAKHP_03595	contig_2_pilon	3974425	3975024	-	600	197	160	179
PAOEAKHP_03596	contig_2_pilon	3975477	3977498	+	2022	41	17	57
PAOEAKHP_03597	contig_2_pilon	3978180	3979031	-	852	3	18	4
PAOEAKHP_03598	contig_2_pilon	3979223	3980023	+	801	98	126	124
PAOEAKHP_03599	contig_2_pilon	3980007	3980582	-	576	9	28	38
PAOEAKHP_03600	contig_2_pilon	3980780	3981304	+	525	14	14	20
PAOEAKHP_03601	contig_2_pilon	3981308	3983428	+	2121	822	909	777
PAOEAKHP_03602	contig_2_pilon	3983397	3984770	-	1374	413	259	600
PAOEAKHP_03603	contig_2_pilon	3984767	3985420	-	654	26	27	63
PAOEAKHP_03604	contig_2_pilon	3985757	3986068	+	312	17	8	7
PAOEAKHP_03605	contig_2_pilon	3986083	3986991	-	909	78	95	47
PAOEAKHP_03606	contig_2_pilon	3986988	3987902	-	915	264	186	130
PAOEAKHP_03607	contig_2_pilon	3987996	3988760	+	765	8318	8971	9209
PAOEAKHP_03608	contig_2_pilon	3988817	3990208	-	1392	570	245	1152
PAOEAKHP_03609	contig_2_pilon	3990432	3993272	-	2841	653	478	653
PAOEAKHP_03610	contig_2_pilon	3993520	3994284	+	765	138	97	170
PAOEAKHP_03611	contig_2_pilon	3994756	3995622	+	867	149	136	208
PAOEAKHP_03612	contig_2_pilon	3995824	3996033	+	210	3	2	4
PAOEAKHP_03613	contig_2_pilon	3996229	3997143	-	915	100	175	96
PAOEAKHP_03614	contig_2_pilon	3997399	3998601	+	1203	36	57	68
PAOEAKHP_03615	contig_2_pilon	3998700	3999485	+	786	15	0	10
PAOEAKHP_03616	contig_2_pilon	3999846	4001417	+	1572	22	34	30
PAOEAKHP_03617	contig_2_pilon	4001386	4003080	-	1695	48	43	85
PAOEAKHP_03618	contig_2_pilon	4003151	4005571	-	2421	57	27	97
PAOEAKHP_03619	contig_2_pilon	4005628	4006581	-	954	7	4	12
PAOEAKHP_03620	contig_2_pilon	4006581	4007561	-	981	6	0	9
PAOEAKHP_03621	contig_2_pilon	4007918	4009066	-	1149	18	8	12
PAOEAKHP_03622	contig_2_pilon	4009259	4009519	+	261	22	41	78
PAOEAKHP_03623	contig_2_pilon	4009534	4012383	-	2850	78753	81083	109290
PAOEAKHP_03624	contig_2_pilon	4012515	4015157	-	2643	1428626	1460684	1302565
PAOEAKHP_03625	contig_2_pilon	4015339	4016163	-	825	4514	4305	7253
PAOEAKHP_03626	contig_2_pilon	4016403	4017974	+	1572	1379	391	3926
PAOEAKHP_03627	contig_2_pilon	4018023	4018244	-	222	0	5	2
PAOEAKHP_03628	contig_2_pilon	4018486	4019103	-	618	29	44	33
PAOEAKHP_03629	contig_2_pilon	4019345	4019785	+	441	7	6	4
PAOEAKHP_03630	contig_2_pilon	4019782	4020246	+	465	2	2	0
PAOEAKHP_03631	contig_2_pilon	4020290	4020868	+	579	10	12	4
PAOEAKHP_03632	contig_2_pilon	4020949	4021956	+	1008	0	2	0
PAOEAKHP_03633	contig_2_pilon	4022067	4023224	+	1158	15	20	30
PAOEAKHP_03634	contig_2_pilon	4023927	4025504	-	1578	0	10	12
PAOEAKHP_03635	contig_2_pilon	4025751	4027235	-	1485	14	19	17
PAOEAKHP_03636	contig_2_pilon	4027232	4028962	-	1731	98	112	122
PAOEAKHP_03637	contig_2_pilon	4029056	4030180	-	1125	31	7	29
PAOEAKHP_03638	contig_2_pilon	4030312	4031310	-	999	2	5	2
PAOEAKHP_03639	contig_2_pilon	4031413	4031796	-	384	9	26	10
PAOEAKHP_03640	contig_2_pilon	4031804	4032619	-	816	269	348	359
PAOEAKHP_03641	contig_2_pilon	4032713	4033936	-	1224	858	840	780
PAOEAKHP_03642	contig_2_pilon	4034290	4037232	+	2943	537	486	679
PAOEAKHP_03643	contig_2_pilon	4037442	4037786	+	345	6	18	9
PAOEAKHP_03644	contig_2_pilon	4038118	4038342	+	225	4	0	6
PAOEAKHP_03645	contig_2_pilon	4038414	4038845	-	432	178	348	270
PAOEAKHP_03646	contig_2_pilon	4038988	4040565	+	1578	172	257	256
PAOEAKHP_03647	contig_2_pilon	4040593	4040829	-	237	51	8	23
PAOEAKHP_03648	contig_2_pilon	4040945	4041628	-	684	34	16	32
PAOEAKHP_03649	contig_2_pilon	4041755	4043431	-	1677	473	553	581
PAOEAKHP_03650	contig_2_pilon	4043573	4044724	+	1152	89	95	119
PAOEAKHP_03651	contig_2_pilon	4044731	4045297	+	567	2	2	19
PAOEAKHP_03652	contig_2_pilon	4045294	4046070	+	777	49	43	77
PAOEAKHP_03653	contig_2_pilon	4046100	4046627	-	528	7	16	12
PAOEAKHP_03654	contig_2_pilon	4046627	4047217	-	591	67	41	88
PAOEAKHP_03655	contig_2_pilon	4047446	4048243	+	798	825	892	1024
PAOEAKHP_03656	contig_2_pilon	4048257	4050890	-	2634	850	682	764
PAOEAKHP_03657	contig_2_pilon	4051464	4052252	-	789	174	188	202
PAOEAKHP_03658	contig_2_pilon	4052575	4053222	+	648	206	169	165
PAOEAKHP_03659	contig_2_pilon	4053444	4053920	-	477	11	1	4
PAOEAKHP_03660	contig_2_pilon	4053971	4055206	-	1236	11	17	8
PAOEAKHP_03661	contig_2_pilon	4055330	4056499	+	1170	51	56	55
PAOEAKHP_03662	contig_2_pilon	4056579	4057091	-	513	0	2	0
PAOEAKHP_03663	contig_2_pilon	4057273	4057848	+	576	94	114	94
PAOEAKHP_03664	contig_2_pilon	4057880	4058575	-	696	3214	2951	2642
PAOEAKHP_03665	contig_2_pilon	4058665	4059462	-	798	7762	6796	7136
PAOEAKHP_03666	contig_2_pilon	4059545	4060543	+	999	198	64	281
PAOEAKHP_03667	contig_2_pilon	4060595	4061713	-	1119	5785	5225	6498
PAOEAKHP_03668	contig_2_pilon	4061795	4062292	+	498	175	101	119
PAOEAKHP_03669	contig_2_pilon	4062323	4063105	-	783	451	399	590
PAOEAKHP_03670	contig_2_pilon	4063360	4064046	+	687	28	38	86
PAOEAKHP_03671	contig_2_pilon	4064191	4064826	+	636	2	6	10
PAOEAKHP_03672	contig_2_pilon	4064834	4065421	+	588	4	2	17
PAOEAKHP_03673	contig_2_pilon	4065411	4065593	-	183	21	14	24
PAOEAKHP_03674	contig_2_pilon	4065590	4066402	-	813	47	65	63
PAOEAKHP_03675	contig_2_pilon	4066480	4066788	+	309	0	0	2
PAOEAKHP_03676	contig_2_pilon	4066908	4067612	+	705	6	10	2
PAOEAKHP_03677	contig_2_pilon	4067653	4068447	-	795	60	46	32
PAOEAKHP_03678	contig_2_pilon	4068512	4069012	-	501	19	15	24
PAOEAKHP_03679	contig_2_pilon	4069178	4070143	+	966	4	0	0
PAOEAKHP_03680	contig_2_pilon	4070059	4070595	-	537	14	30	19
PAOEAKHP_03681	contig_2_pilon	4070729	4071958	+	1230	170	137	201
PAOEAKHP_03682	contig_2_pilon	4072033	4074288	+	2256	123	113	136
PAOEAKHP_03683	contig_2_pilon	4074371	4075273	+	903	54	13	9
PAOEAKHP_03684	contig_2_pilon	4075341	4075988	+	648	0	0	12
PAOEAKHP_03685	contig_2_pilon	4076050	4077120	-	1071	41	74	92
PAOEAKHP_03686	contig_2_pilon	4077120	4078328	-	1209	6	12	4
PAOEAKHP_03687	contig_2_pilon	4078502	4079413	-	912	86	77	54
PAOEAKHP_03688	contig_2_pilon	4079568	4080509	+	942	10	17	10
PAOEAKHP_03689	contig_2_pilon	4080779	4081246	-	468	9	7	3
PAOEAKHP_03690	contig_2_pilon	4081667	4082659	-	993	32	21	40
PAOEAKHP_03691	contig_2_pilon	4082668	4083804	-	1137	31	51	51
PAOEAKHP_03692	contig_2_pilon	4083804	4084991	-	1188	88	181	129
PAOEAKHP_03693	contig_2_pilon	4085160	4086164	-	1005	541	566	638
PAOEAKHP_03694	contig_2_pilon	4086173	4087816	+	1644	30	4	14
PAOEAKHP_03695	contig_2_pilon	4087791	4090523	-	2733	2759	2516	2882
PAOEAKHP_03696	contig_2_pilon	4090793	4092904	-	2112	829	945	1141
PAOEAKHP_03697	contig_2_pilon	4093174	4094457	+	1284	66	62	46
PAOEAKHP_03698	contig_2_pilon	4094470	4096176	-	1707	746	760	842
PAOEAKHP_03699	contig_2_pilon	4096377	4097651	+	1275	121	52	293
PAOEAKHP_03700	contig_2_pilon	4097921	4098346	+	426	19	20	59
PAOEAKHP_03701	contig_2_pilon	4098462	4099589	-	1128	8326	7487	8426
PAOEAKHP_03702	contig_2_pilon	4099663	4099935	-	273	539	533	652
PAOEAKHP_03703	contig_2_pilon	4099973	4101475	-	1503	2229	2197	2718
PAOEAKHP_03704	contig_2_pilon	4101719	4102294	-	576	313	398	330
PAOEAKHP_03705	contig_2_pilon	4102576	4103187	-	612	46	45	33
PAOEAKHP_03706	contig_2_pilon	4103567	4103899	+	333	7	8	7
PAOEAKHP_03707	contig_2_pilon	4104008	4104919	-	912	279	236	355
PAOEAKHP_03708	contig_2_pilon	4105015	4105665	+	651	13	6	22
PAOEAKHP_03709	contig_2_pilon	4105749	4106522	+	774	76	26	88
PAOEAKHP_03710	contig_2_pilon	4106598	4108538	-	1941	2464	2138	2274
PAOEAKHP_03711	contig_2_pilon	4108811	4109989	+	1179	89	118	108
PAOEAKHP_03712	contig_2_pilon	4110140	4111453	+	1314	343	231	256
PAOEAKHP_03713	contig_2_pilon	4111450	4112370	+	921	118	143	126
PAOEAKHP_03714	contig_2_pilon	4112370	4113305	+	936	17	38	26
PAOEAKHP_03715	contig_2_pilon	4113335	4114384	+	1050	8	10	6
PAOEAKHP_03716	contig_2_pilon	4114473	4116095	-	1623	129	47	172
PAOEAKHP_03717	contig_2_pilon	4116199	4116507	-	309	21	17	29
PAOEAKHP_03718	contig_2_pilon	4117343	4118023	+	681	33	33	44
PAOEAKHP_03719	contig_2_pilon	4118088	4119512	+	1425	11	30	30
PAOEAKHP_03720	contig_2_pilon	4119568	4120869	+	1302	10	0	16
PAOEAKHP_03721	contig_2_pilon	4120857	4122428	+	1572	109	42	82
PAOEAKHP_03722	contig_2_pilon	4122489	4123685	+	1197	88	69	69
PAOEAKHP_03723	contig_2_pilon	4123692	4124057	-	366	6	3	0
PAOEAKHP_03724	contig_2_pilon	4124173	4124490	-	318	0	0	4
PAOEAKHP_03725	contig_2_pilon	4124517	4125650	-	1134	0	12	8
PAOEAKHP_03726	contig_2_pilon	4125643	4126239	-	597	22	55	29
PAOEAKHP_03727	contig_2_pilon	4126236	4126895	-	660	1188	1092	1066
PAOEAKHP_03728	contig_2_pilon	4126982	4127548	+	567	0	1	7
PAOEAKHP_03729	contig_2_pilon	4127624	4127839	-	216	149	265	224
PAOEAKHP_03730	contig_2_pilon	4128017	4128562	-	546	52	41	43
PAOEAKHP_03731	contig_2_pilon	4128648	4129910	-	1263	18	13	34
PAOEAKHP_03732	contig_2_pilon	4129907	4131067	-	1161	0	0	0
PAOEAKHP_03733	contig_2_pilon	4131176	4132603	-	1428	6	2	6
PAOEAKHP_03734	contig_2_pilon	4132664	4133032	-	369	2	2	0
PAOEAKHP_03735	contig_2_pilon	4133029	4134876	-	1848	14	22	22
PAOEAKHP_03736	contig_2_pilon	4135036	4136034	+	999	575	580	632
PAOEAKHP_03737	contig_2_pilon	4136073	4137005	+	933	56	86	95
PAOEAKHP_03738	contig_2_pilon	4137226	4138584	-	1359	14	20	33
PAOEAKHP_03739	contig_2_pilon	4138727	4139239	-	513	9	17	10
PAOEAKHP_03740	contig_2_pilon	4139281	4139724	-	444	20	20	2
PAOEAKHP_03741	contig_2_pilon	4139930	4141213	-	1284	29	59	38
PAOEAKHP_03742	contig_2_pilon	4141235	4142854	-	1620	250	240	302
PAOEAKHP_03743	contig_2_pilon	4142911	4143738	+	828	4	14	18
PAOEAKHP_03744	contig_2_pilon	4143760	4144611	-	852	4	8	6
PAOEAKHP_03745	contig_2_pilon	4144685	4145179	-	495	0	0	0
PAOEAKHP_03746	contig_2_pilon	4145414	4146436	-	1023	8	19	17
PAOEAKHP_03747	contig_2_pilon	4146634	4147038	-	405	25	30	49
PAOEAKHP_03748	contig_2_pilon	4147103	4147483	-	381	25	24	25
PAOEAKHP_03749	contig_2_pilon	4147689	4147802	-	114	7	12	10
PAOEAKHP_03750	contig_2_pilon	4147862	4148083	-	222	14	10	20
PAOEAKHP_03751	contig_2_pilon	4148280	4149116	-	837	82	144	124
PAOEAKHP_03752	contig_2_pilon	4149242	4149895	-	654	15	12	7
PAOEAKHP_03753	contig_2_pilon	4149895	4151208	-	1314	164	103	77
PAOEAKHP_03754	contig_2_pilon	4151444	4151899	-	456	0	0	0
PAOEAKHP_03755	contig_2_pilon	4151901	4152083	-	183	1	0	0
PAOEAKHP_03756	contig_2_pilon	4152083	4152688	-	606	0	0	4
PAOEAKHP_03757	contig_2_pilon	4152734	4153117	-	384	2	0	6
PAOEAKHP_03758	contig_2_pilon	4153121	4153660	-	540	0	2	4
PAOEAKHP_03759	contig_2_pilon	4153683	4154081	-	399	34	29	28
PAOEAKHP_03760	contig_2_pilon	4154347	4154532	-	186	3	11	2
PAOEAKHP_03761	contig_2_pilon	4154535	4155095	-	561	48	65	67
PAOEAKHP_03762	contig_2_pilon	4155095	4155418	-	324	68	80	83
PAOEAKHP_03763	contig_2_pilon	4155422	4155790	-	369	25	57	27
PAOEAKHP_03764	contig_2_pilon	4155922	4156206	-	285	8	11	19
PAOEAKHP_03765	contig_2_pilon	4156206	4156430	-	225	38	33	40
PAOEAKHP_03766	contig_2_pilon	4156430	4156849	-	420	67	39	60
PAOEAKHP_03767	contig_2_pilon	4156855	4157682	-	828	132	172	150
PAOEAKHP_03768	contig_2_pilon	4157682	4158053	-	372	96	66	57
PAOEAKHP_03769	contig_2_pilon	4158074	4158355	-	282	15	46	49
PAOEAKHP_03770	contig_2_pilon	4158368	4159204	-	837	135	136	135
PAOEAKHP_03771	contig_2_pilon	4159244	4159567	-	324	80	81	71
PAOEAKHP_03772	contig_2_pilon	4159567	4160217	-	651	221	230	214
PAOEAKHP_03773	contig_2_pilon	4160226	4160870	-	645	121	88	74
PAOEAKHP_03774	contig_2_pilon	4160888	4161196	-	309	90	58	59
PAOEAKHP_03775	contig_2_pilon	4161649	4162560	-	912	130	90	156
PAOEAKHP_03776	contig_2_pilon	4162708	4162986	-	279	41	60	48
PAOEAKHP_03777	contig_2_pilon	4163684	4165534	+	1851	5	14	16
PAOEAKHP_03778	contig_2_pilon	4165899	4166831	+	933	2	0	21
PAOEAKHP_03779	contig_2_pilon	4166845	4167276	-	432	61	111	101
PAOEAKHP_03780	contig_2_pilon	4167459	4168652	-	1194	192	142	190
PAOEAKHP_03781	contig_2_pilon	4168813	4170933	-	2121	309	370	312
PAOEAKHP_03782	contig_2_pilon	4170973	4171443	-	471	126	92	56
PAOEAKHP_03783	contig_2_pilon	4171446	4171817	-	372	69	59	99
PAOEAKHP_03784	contig_2_pilon	4172242	4172847	-	606	96	79	109
PAOEAKHP_03785	contig_2_pilon	4173023	4176922	-	3900	784	845	752
PAOEAKHP_03786	contig_2_pilon	4177019	4180501	-	3483	1024	1038	1149
PAOEAKHP_03787	contig_2_pilon	4181108	4181497	-	390	32	63	53
PAOEAKHP_03788	contig_2_pilon	4181587	4182138	-	552	233	193	154
PAOEAKHP_03789	contig_2_pilon	4182456	4183313	-	858	276	185	263
PAOEAKHP_03790	contig_2_pilon	4183585	4184307	-	723	335	380	369
PAOEAKHP_03791	contig_2_pilon	4184414	4184848	-	435	263	271	210
PAOEAKHP_03792	contig_2_pilon	4185018	4185917	-	900	213	262	246
PAOEAKHP_03793	contig_2_pilon	4185990	4186283	-	294	122	115	63
PAOEAKHP_03795	contig_2_pilon	4186641	4187882	+	1242	0	9	33
PAOEAKHP_03796	contig_2_pilon	4188002	4189051	+	1050	4	2	0
PAOEAKHP_03797	contig_2_pilon	4189058	4190113	-	1056	206	287	166
PAOEAKHP_03798	contig_2_pilon	4190184	4190618	-	435	183	137	141
PAOEAKHP_03799	contig_2_pilon	4190623	4191078	-	456	154	206	137
PAOEAKHP_03800	contig_2_pilon	4191230	4191394	-	165	46	57	59
PAOEAKHP_03803	contig_2_pilon	4191857	4193146	+	1290	776	673	792
PAOEAKHP_03804	contig_2_pilon	4193214	4193873	+	660	161	184	201
PAOEAKHP_03806	contig_2_pilon	4194325	4194813	+	489	125	122	72
PAOEAKHP_03807	contig_2_pilon	4194974	4195702	+	729	142	156	106
PAOEAKHP_03808	contig_2_pilon	4195724	4196140	-	417	18	10	10
PAOEAKHP_03809	contig_2_pilon	4196254	4197114	-	861	39	44	43
PAOEAKHP_03810	contig_2_pilon	4197407	4198948	-	1542	141	235	250
PAOEAKHP_03811	contig_2_pilon	4198948	4200612	-	1665	256	370	369
PAOEAKHP_03812	contig_2_pilon	4200615	4202648	-	2034	237	253	321
PAOEAKHP_03813	contig_2_pilon	4202645	4203043	-	399	65	70	67
PAOEAKHP_03814	contig_2_pilon	4203043	4203681	-	639	248	229	175
PAOEAKHP_03815	contig_2_pilon	4203678	4204295	-	618	506	556	540
PAOEAKHP_03816	contig_2_pilon	4204295	4205260	-	966	1091	904	991
PAOEAKHP_03817	contig_2_pilon	4205257	4206555	-	1299	1562	1795	1640
PAOEAKHP_03818	contig_2_pilon	4206552	4207301	-	750	488	550	581
PAOEAKHP_03819	contig_2_pilon	4207292	4207693	-	402	839	1124	901
PAOEAKHP_03820	contig_2_pilon	4207860	4208987	-	1128	1663	1994	1639
PAOEAKHP_03821	contig_2_pilon	4209357	4210688	-	1332	101	205	181
PAOEAKHP_03822	contig_2_pilon	4210678	4211352	-	675	128	95	131
PAOEAKHP_03823	contig_2_pilon	4211472	4212833	+	1362	0	0	4
PAOEAKHP_03824	contig_2_pilon	4213142	4214455	+	1314	10	6	2
PAOEAKHP_03825	contig_2_pilon	4214723	4215382	+	660	49	19	79
PAOEAKHP_03826	contig_2_pilon	4215658	4217661	+	2004	199	181	277
PAOEAKHP_03827	contig_2_pilon	4217654	4218748	+	1095	77	143	135
PAOEAKHP_03828	contig_2_pilon	4218959	4219966	+	1008	8	0	0
PAOEAKHP_03829	contig_2_pilon	4220110	4221507	+	1398	8	16	23
PAOEAKHP_03830	contig_2_pilon	4221580	4222506	-	927	4	10	0
PAOEAKHP_03831	contig_2_pilon	4222493	4223458	-	966	3	6	6
PAOEAKHP_03832	contig_2_pilon	4223575	4224894	-	1320	104	70	106
PAOEAKHP_03833	contig_2_pilon	4225213	4226226	-	1014	846	391	1293
PAOEAKHP_03834	contig_2_pilon	4226548	4227747	-	1200	63	81	112
PAOEAKHP_03835	contig_2_pilon	4227890	4229176	-	1287	877	662	918
PAOEAKHP_03836	contig_2_pilon	4229483	4230682	+	1200	65	106	94
PAOEAKHP_03837	contig_2_pilon	4230679	4231344	+	666	127	101	155
PAOEAKHP_03838	contig_2_pilon	4231417	4231914	+	498	111	62	41
PAOEAKHP_03839	contig_2_pilon	4232204	4232545	+	342	229	198	275
PAOEAKHP_03840	contig_2_pilon	4232724	4234376	-	1653	23	14	32
PAOEAKHP_03841	contig_2_pilon	4234373	4235989	-	1617	30	18	128
PAOEAKHP_03842	contig_2_pilon	4235993	4237939	-	1947	201	81	285
PAOEAKHP_03843	contig_2_pilon	4237952	4238251	-	300	152	141	102
PAOEAKHP_03844	contig_2_pilon	4238248	4239060	-	813	435	359	393
PAOEAKHP_03845	contig_2_pilon	4239057	4239704	-	648	227	265	300
PAOEAKHP_03846	contig_2_pilon	4239697	4241076	-	1380	1761	1536	1820
PAOEAKHP_03847	contig_2_pilon	4241073	4243637	-	2565	496	587	819
PAOEAKHP_03848	contig_2_pilon	4243634	4244989	-	1356	55	62	100
PAOEAKHP_03849	contig_2_pilon	4244989	4245915	-	927	44	46	70
PAOEAKHP_03850	contig_2_pilon	4245912	4247234	-	1323	764	936	974
PAOEAKHP_03851	contig_2_pilon	4247234	4248049	-	816	40	8	52
PAOEAKHP_03852	contig_2_pilon	4248046	4248600	-	555	10	4	22
PAOEAKHP_03853	contig_2_pilon	4248610	4248969	-	360	10	3	14
PAOEAKHP_03854	contig_2_pilon	4249729	4250547	+	819	792	997	924
PAOEAKHP_03855	contig_2_pilon	4250829	4252064	+	1236	754	630	685
PAOEAKHP_03856	contig_2_pilon	4252401	4253627	+	1227	329	326	312
PAOEAKHP_03857	contig_2_pilon	4253548	4254786	-	1239	885	677	891
PAOEAKHP_03858	contig_2_pilon	4254941	4256260	-	1320	23	10	26
PAOEAKHP_03859	contig_2_pilon	4256362	4256919	+	558	53	84	101
PAOEAKHP_03860	contig_2_pilon	4256968	4257621	-	654	134	91	86
PAOEAKHP_03861	contig_2_pilon	4257898	4258503	-	606	26	1	14
PAOEAKHP_03862	contig_2_pilon	4258624	4259169	-	546	21	9	16
PAOEAKHP_03863	contig_2_pilon	4259177	4260376	-	1200	75	62	118
PAOEAKHP_03864	contig_2_pilon	4260493	4262223	-	1731	36	39	39
PAOEAKHP_03865	contig_2_pilon	4262392	4263603	+	1212	540	400	566
PAOEAKHP_03866	contig_2_pilon	4264090	4264920	-	831	7	4	14
PAOEAKHP_03867	contig_2_pilon	4265250	4265453	+	204	7	2	4
PAOEAKHP_03869	contig_2_pilon	4266923	4268152	+	1230	42	34	57
